Company Name,Service Type,Website,Referral Commission,Contact Method,Notes,Date Added
Green Lotus,Digital Marketing,https://www.greenlotus.ca,10% monthly recurring,Website form,SEO/digital marketing - 10% for life,2025-02-15
Grandway Marketing,Web Design/SEO,https://grandwaymarketing.com,Up to $1000 per referral,Website form,Website/SEO/marketing referrals,2025-02-15
Vizion,PPC Marketing,https://www.vizion.com,Percentage of management fee,Website form,PPC/paid search referral program,2025-02-15
GrowME Marketing,Digital Marketing,https://growmemarketing.ca,25% commission,Affiliate signup,Top-rated Canadian agency - 25% commission,2025-02-15
SEO Discovery,SEO Services,https://www.seodiscovery.com,Up to 25% commission,Website form,SEO/digital marketing referral program,2025-02-15
Shortlist.io,SEO/Marketing,https://shortlist.io,10% (6-month contract),Partner signup,White-label SEO services,2025-02-15
OpenPotion,Web Design,https://www.openpotion.com,$300-1000 per referral,Partner page,10% commission on web design,2025-02-15
SocialJack Media,Digital Marketing,https://www.socialjackmedia.com,Commission-based,Referral partner signup,Social media marketing focus,2025-02-15
BrandHeight,SEO/Digital Marketing,https://www.brandheight.com,Commission-based,Referral program page,SEO and digital marketing services,2025-02-15
TopMarketingAgency,Full-Service Marketing,https://topmarketingagency.com,Commission-based,Client referral program,